Timestamp,Symbol,Signal,Regime,Strategy,Entry_Price,SL,TP,Position_Size_USDT,Status,Exit_Price,Exit_Time,PnL_Percent,PnL_USDT,Score,ATR,Reasons,Timeframe
2025-12-25T08:24:14.400Z,LTC/USDT,LONG,NEUTRAL,MOMENTUM,76.49,76.09,77.80,100.00,SL_HIT,76.09,2025-12-25T10:44:17.457Z,-0.52,-0.52,75,0.26,"✓ MACD bullish crossover | ✓ RSI optimal (53.2) | ✓ Volume 1.6x avg | ✓ Strong trend (ADX 29.8) | ✓ Buying pressure (DMI) | ✓ RSI optimal (53.2) | ✓ Volume 1.6x avg | ✓ Strong trend (ADX 29.8) | ✓ OBV falling | ⚠ Market sentiment alignment: -10 pts | ✓ Liquidity zone detected",15m
2025-12-25T08:24:14.517Z,LTC/USDT,LONG,NEUTRAL,MOMENTUM,76.49,76.09,77.80,100.00,SL_HIT,76.09,2025-12-25T10:44:18.505Z,-0.52,-0.52,75,0.26,"✓ MACD bullish crossover | ✓ RSI optimal (53.2) | ✓ Volume 1.6x avg | ✓ Strong trend (ADX 29.8) | ✓ Buying pressure (DMI) | ✓ RSI optimal (53.2) | ✓ Volume 1.6x avg | ✓ Strong trend (ADX 29.8) | ✓ OBV falling | ⚠ Market sentiment alignment: -10 pts | ✓ Liquidity zone detected",15m
2025-12-25T08:24:15.455Z,LTC/USDT,LONG,NEUTRAL,MOMENTUM,76.49,76.09,77.80,100.00,SL_HIT,76.09,2025-12-25T10:44:19.329Z,-0.52,-0.52,75,0.26,"✓ MACD bullish crossover | ✓ RSI optimal (53.2) | ✓ Volume 1.6x avg | ✓ Strong trend (ADX 29.8) | ✓ Buying pressure (DMI) | ✓ RSI optimal (53.2) | ✓ Volume 1.6x avg | ✓ Strong trend (ADX 29.8) | ✓ OBV falling | ⚠ Market sentiment alignment: -10 pts | ✓ Liquidity zone detected",15m
2025-12-25T10:09:16.454Z,LINK/USDT,LONG,RANGING,MEAN_REVERSION,12.20,12.14,12.31,100.00,SL_HIT,12.14,2025-12-25T10:39:18.243Z,-0.49,-0.49,60,0.04,"✓ Precio en BB inferior | ✓ RSI sobrevendido (28.6) | ✓ Orderbook comprador (Comprador fuerte (+19.0%))",15m
2025-12-25T10:39:07.141Z,BTC/USDT,SHORT,NEUTRAL,MOMENTUM,87323.81,87760.43,85000.00,100.00,SL_HIT,87760.43,2025-12-25T17:28:33.621Z,-0.50,-0.50,80,108.91,"✓ MACD bearish crossover | ✓ RSI optimal (33.0) | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Orderbook sellers (Strong sellers (-77.3%)) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T10:39:07.375Z,BTC/USDT,SHORT,NEUTRAL,MOMENTUM,87323.82,87487.18,86997.09,100.00,SL_HIT,87487.18,2025-12-25T17:28:34.869Z,-0.19,-0.19,60,108.91,"✓ MACD cruce bajista | ✓ RSI óptimo (33.0) | ✓ Presión vendedora | ✓ OBV decreciente | ✓ Orderbook vendedor (Vendedor fuerte (-90.4%))",15m
2025-12-25T10:39:09.966Z,BTC/USDT,SHORT,NEUTRAL,MOMENTUM,87323.81,87760.43,85000.00,100.00,SL_HIT,87760.43,2025-12-25T17:28:35.703Z,-0.50,-0.50,80,108.91,"✓ MACD bearish crossover | ✓ RSI optimal (33.0) | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Orderbook sellers (Strong sellers (-71.1%)) | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected",15m
2025-12-25T10:39:12.340Z,ADA/USDT,LONG,RANGING,MEAN_REVERSION,0.35,0.35,0.36,100.00,SL_HIT,0.35,2025-12-25T22:50:52.056Z,0.00,0.00,60,0.00,"✓ Precio en BB inferior | ✓ RSI sobrevendido (21.5) | ✓ Orderbook comprador (Comprador fuerte (+33.3%))",15m
2025-12-25T10:39:13.194Z,DOGE/USDT,SHORT,NEUTRAL,MOMENTUM,0.1263,0.1271,0.1252,100.00,SL_HIT,0.1271,2025-12-25T17:53:34.844Z,-0.63,-0.63,100,0.00,"✓ Volume 3.6x avg | ✓ Bearish EMA alignment | ✓ MACD bearish crossover | ✓ Volume 3.6x avg | ✓ Selling pressure (DMI) | ✓ OBV falling | ✓ Market sentiment alignment: +10 pts | ✓ Liquidity zone detected | ✓ Fair value gap (0.4%)",15m
2025-12-25T10:39:13.398Z,DOGE/USDT,SHORT,NEUTRAL,MOMENTUM,0.13,0.13,0.13,100.00,TP_HIT,0.1300,2025-12-25T10:44:23.865Z,0.00,0.00,70,0.00,"✓ Volumen 3.6x | ✓ Alineación bajista de EMAs | ✓ MACD cruce bajista | ✓ Volumen 3.6x | ✓ Presión vendedora | ✓ OBV decreciente",15m
